leasecarId,make,model,duration,mileage,pricePerMonth
377201,Peugeot,2008,72,20000,507.0
377201,Peugeot,2008,24,25000,632.0
377201,Peugeot,2008,36,25000,612.0
377201,Peugeot,2008,48,25000,592.0
377201,Peugeot,2008,60,25000,572.0
377201,Peugeot,2008,72,25000,552.0
377201,Peugeot,2008,24,30000,677.0
377201,Peugeot,2008,36,30000,657.0
377201,Peugeot,2008,48,30000,637.0
377201,Peugeot,2008,60,30000,617.0
377201,Peugeot,2008,72,30000,597.0
377201,Peugeot,2008,24,35000,722.0
377201,Peugeot,2008,36,35000,702.0
377201,Peugeot,2008,48,35000,682.0
377201,Peugeot,2008,60,35000,662.0
377201,Peugeot,2008,72,35000,642.0
377201,Peugeot,2008,24,40000,767.0
377201,Peugeot,2008,36,40000,747.0
377201,Peugeot,2008,48,40000,727.0
377201,Peugeot,2008,60,40000,707.0
377201,Peugeot,2008,72,40000,687.0
377202,Peugeot,2008,24,5000,479.0
377202,Peugeot,2008,36,5000,459.0
377202,Peugeot,2008,48,5000,439.0
377202,Peugeot,2008,60,5000,419.0
377202,Peugeot,2008,72,5000,399.0
377202,Peugeot,2008,24,7500,494.0
377202,Peugeot,2008,36,7500,474.0
377202,Peugeot,2008,48,7500,454.0
377202,Peugeot,2008,60,7500,434.0
377202,Peugeot,2008,72,7500,414.0
377202,Peugeot,2008,24,10000,509.0
377202,Peugeot,2008,36,10000,489.0
377202,Peugeot,2008,48,10000,469.0
377202,Peugeot,2008,60,10000,449.0
377202,Peugeot,2008,72,10000,429.0
377202,Peugeot,2008,24,12500,531.0
377202,Peugeot,2008,36,12500,511.0
377202,Peugeot,2008,48,12500,491.0
377202,Peugeot,2008,60,12500,471.0
377202,Peugeot,2008,72,12500,451.0
377202,Peugeot,2008,24,15000,553.0
377202,Peugeot,2008,36,15000,533.0
377202,Peugeot,2008,48,15000,513.0
377202,Peugeot,2008,60,15000,493.0
377202,Peugeot,2008,72,15000,473.0
377202,Peugeot,2008,24,17500,575.0
377202,Peugeot,2008,36,17500,555.0
377202,Peugeot,2008,48,17500,535.0
377202,Peugeot,2008,60,17500,515.0
377202,Peugeot,2008,72,17500,495.0
377202,Peugeot,2008,24,20000,597.0
377202,Peugeot,2008,36,20000,577.0
377202,Peugeot,2008,48,20000,557.0
377202,Peugeot,2008,60,20000,537.0
377202,Peugeot,2008,72,20000,517.0
377202,Peugeot,2008,24,25000,642.0
377202,Peugeot,2008,36,25000,622.0
377202,Peugeot,2008,48,25000,602.0
377202,Peugeot,2008,60,25000,582.0
377202,Peugeot,2008,72,25000,562.0
377202,Peugeot,2008,24,30000,687.0
377202,Peugeot,2008,36,30000,667.0
377202,Peugeot,2008,48,30000,647.0
377202,Peugeot,2008,60,30000,627.0
377202,Peugeot,2008,72,30000,607.0
377202,Peugeot,2008,24,35000,732.0
377202,Peugeot,2008,36,35000,712.0
377202,Peugeot,2008,48,35000,692.0
377202,Peugeot,2008,60,35000,672.0
377202,Peugeot,2008,72,35000,652.0
377202,Peugeot,2008,24,40000,777.0
377202,Peugeot,2008,36,40000,757.0
377202,Peugeot,2008,48,40000,737.0
377202,Peugeot,2008,60,40000,717.0
377202,Peugeot,2008,72,40000,697.0
377189,Citroen,C3 Aircross,24,5000,549.0
377189,Citroen,C3 Aircross,36,5000,499.0
377189,Citroen,C3 Aircross,48,5000,449.0
377189,Citroen,C3 Aircross,60,5000,424.0
377189,Citroen,C3 Aircross,72,5000,399.0
377189,Citroen,C3 Aircross,24,7500,564.0
377189,Citroen,C3 Aircross,36,7500,514.0
377189,Citroen,C3 Aircross,48,7500,464.0
377189,Citroen,C3 Aircross,60,7500,439.0
377189,Citroen,C3 Aircross,72,7500,414.0
377189,Citroen,C3 Aircross,24,10000,579.0
377189,Citroen,C3 Aircross,36,10000,529.0
377189,Citroen,C3 Aircross,48,10000,479.0
377189,Citroen,C3 Aircross,60,10000,454.0
377189,Citroen,C3 Aircross,72,10000,429.0
377189,Citroen,C3 Aircross,24,12500,601.0
377189,Citroen,C3 Aircross,36,12500,551.0
377189,Citroen,C3 Aircross,48,12500,501.0
377189,Citroen,C3 Aircross,60,12500,476.0
377189,Citroen,C3 Aircross,72,12500,451.0
377189,Citroen,C3 Aircross,24,15000,624.0
377189,Citroen,C3 Aircross,36,15000,574.0
377189,Citroen,C3 Aircross,48,15000,524.0
377189,Citroen,C3 Aircross,60,15000,499.0
377189,Citroen,C3 Aircross,72,15000,474.0
377189,Citroen,C3 Aircross,24,17500,646.0
377189,Citroen,C3 Aircross,36,17500,596.0
377189,Citroen,C3 Aircross,48,17500,546.0
377189,Citroen,C3 Aircross,60,17500,521.0
377189,Citroen,C3 Aircross,72,17500,496.0
377189,Citroen,C3 Aircross,24,20000,669.0
377189,Citroen,C3 Aircross,36,20000,619.0
377189,Citroen,C3 Aircross,48,20000,569.0
377189,Citroen,C3 Aircross,60,20000,544.0
377189,Citroen,C3 Aircross,72,20000,519.0
377189,Citroen,C3 Aircross,24,25000,714.0
377189,Citroen,C3 Aircross,36,25000,664.0
377189,Citroen,C3 Aircross,48,25000,614.0
377189,Citroen,C3 Aircross,60,25000,589.0
377189,Citroen,C3 Aircross,72,25000,564.0
377189,Citroen,C3 Aircross,24,30000,759.0
377189,Citroen,C3 Aircross,36,30000,709.0
377189,Citroen,C3 Aircross,48,30000,659.0
377189,Citroen,C3 Aircross,60,30000,634.0
377189,Citroen,C3 Aircross,72,30000,609.0
377189,Citroen,C3 Aircross,24,35000,804.0
377189,Citroen,C3 Aircross,36,35000,754.0
377189,Citroen,C3 Aircross,48,35000,704.0
377189,Citroen,C3 Aircross,60,35000,679.0
377189,Citroen,C3 Aircross,72,35000,654.0
377189,Citroen,C3 Aircross,24,40000,849.0
377189,Citroen,C3 Aircross,36,40000,799.0
377189,Citroen,C3 Aircross,48,40000,749.0
377189,Citroen,C3 Aircross,60,40000,724.0
377189,Citroen,C3 Aircross,72,40000,699.0
377198,Opel,Frontera,24,5000,559.0
377198,Opel,Frontera,36,5000,509.0
377198,Opel,Frontera,48,5000,459.0
377198,Opel,Frontera,60,5000,434.0
377198,Opel,Frontera,72,5000,409.0
377198,Opel,Frontera,24,7500,574.0
377198,Opel,Frontera,36,7500,524.0
377198,Opel,Frontera,48,7500,474.0
377198,Opel,Frontera,60,7500,449.0
377198,Opel,Frontera,72,7500,424.0
377198,Opel,Frontera,24,10000,589.0
377198,Opel,Frontera,36,10000,539.0
377198,Opel,Frontera,48,10000,489.0
377198,Opel,Frontera,60,10000,464.0
377198,Opel,Frontera,72,10000,439.0
377198,Opel,Frontera,24,12500,611.0
377198,Opel,Frontera,36,12500,561.0
377198,Opel,Frontera,48,12500,511.0
377198,Opel,Frontera,60,12500,486.0
377198,Opel,Frontera,72,12500,461.0
377198,Opel,Frontera,24,15000,633.0
377198,Opel,Frontera,36,15000,583.0
377198,Opel,Frontera,48,15000,533.0
377198,Opel,Frontera,60,15000,508.0
377198,Opel,Frontera,72,15000,483.0
377198,Opel,Frontera,24,17500,655.0
377198,Opel,Frontera,36,17500,605.0
377198,Opel,Frontera,48,17500,555.0
377198,Opel,Frontera,60,17500,530.0
377198,Opel,Frontera,72,17500,505.0
377198,Opel,Frontera,24,20000,677.0
377198,Opel,Frontera,36,20000,627.0
377198,Opel,Frontera,48,20000,577.0
377198,Opel,Frontera,60,20000,552.0
377198,Opel,Frontera,72,20000,527.0
377198,Opel,Frontera,24,25000,719.0
377198,Opel,Frontera,36,25000,669.0
377198,Opel,Frontera,48,25000,619.0
377198,Opel,Frontera,60,25000,594.0
377198,Opel,Frontera,72,25000,569.0
377198,Opel,Frontera,24,30000,761.0
377198,Opel,Frontera,36,30000,711.0
377198,Opel,Frontera,48,30000,661.0
377198,Opel,Frontera,60,30000,636.0
377198,Opel,Frontera,72,30000,611.0
377198,Opel,Frontera,24,35000,803.0
